,In-vehicle,At-stop,Extra,Tardiness,Total
FTNC,7.574835526315791,178.00985506394363,0.0,2.2299235227448335,187.8146141130041
,In-vehicle,At-stop,Extra,Tardiness,Total
FTNC,12.148935249307478,184.53030674138284,0.0,0.0,196.67924199069006
,In-vehicle,At-stop,Extra,Tardiness,Total
FTNC,14.729787049861496,189.45861699069025,0.0,75.18848069396029,279.37688473451215
,In-vehicle,At-stop,Extra,Tardiness,Total
FTNC,11.961694944598339,184.5360338881972,0.0,0.0,196.49772883279542
,In-vehicle,At-stop,Extra,Tardiness,Total
FTNC,10.712820290858726,182.77476657517775,0.0,0.0,193.4875868660364
,In-vehicle,At-stop,Extra,Tardiness,Total
FTNC,14.72926765927978,187.02979427600894,0.0,8.28313049376839,210.0421924290569
,In-vehicle,At-stop,Extra,Tardiness,Total
FTNC,13.60426765927978,182.2376890128511,0.0,1.5131085242676985,197.35506519639813
,In-vehicle,At-stop,Extra,Tardiness,Total
FTNC,10.73255713296399,179.4354313951221,0.0,0.0,190.16798852808603
,In-vehicle,At-stop,Extra,Tardiness,Total
FTNC,11.872879155124654,183.04185798792014,0.0,0.0,194.914737143045
,In-vehicle,At-stop,Extra,Tardiness,Total
FTNC,14.911833448753463,189.25331228154886,0.0,0.0,204.1651457303024
,In-vehicle,At-stop,Extra,Tardiness,Total
FTNC,14.07301765927978,183.88439953916685,0.0,0.0,197.9574171984463
,In-vehicle,At-stop,Extra,Tardiness,Total
FTNC,15.10426765927978,189.26716269706156,0.0,0.0,204.37143035634102
,In-vehicle,At-stop,Extra,Tardiness,Total
FTNC,4.421875,221.8636545138889,0.0,0.0,226.2855295138889
,In-vehicle,At-stop,Extra,Tardiness,Total
FTNC,12.424991343490305,186.31875549484545,0.0,0.0,198.7437468383357
,In-vehicle,At-stop,Extra,Tardiness,Total
FTNC,15.19801765927978,189.87650480232472,0.0,37.42165927533734,242.4961817369417
,In-vehicle,At-stop,Extra,Tardiness,Total
FTNC,8.646684556786706,178.82613084110565,0.0,4.956073777799302,192.42888917569178
,In-vehicle,At-stop,Extra,Tardiness,Total
FTNC,2285.4210197129637,12672.640423751433,575.6307206712264,0.0,15533.692164135598
,In-vehicle,At-stop,Extra,Tardiness,Total
FTNC,13.308215027700832,182.79416408210284,0.0,53.38723945807137,249.48961856787494
,In-vehicle,At-stop,Extra,Tardiness,Total
FTHC,12.440832426847066,187.30189967365277,0.0,8.239537621283734,207.98226972178375
,In-vehicle,At-stop,Extra,Tardiness,Total
FTNC,2168.734779449687,12597.251471322495,540.7951508955715,0.0,15306.781401667733
,In-vehicle,At-stop,Extra,Tardiness,Total
FTNC,2201.685920603113,12909.843846528554,541.0858334763456,439.6554545412215,16092.27105514928
,In-vehicle,At-stop,Extra,Tardiness,Total
FTNC,2284.201304134211,12564.997742232132,577.4859084617377,273.06107445766025,15699.746029285752
,In-vehicle,At-stop,Extra,Tardiness,Total
FTNC,2151.369560509833,12665.431141459056,461.8074481186643,0.0,15278.608150087526
,In-vehicle,At-stop,Extra,Tardiness,Total
FTNC,2109.3233686435156,12732.990648353109,374.51194301312955,43.509069072837946,15260.335029082573
,In-vehicle,At-stop,Extra,Tardiness,Total
FTHC,2232.1648068296445,12581.787078402584,375.4875219215975,5.412815180977432,15194.852222334735
